[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
{"completed": 1, "campaign": "pilot-r5", "tokens": 9794}
{"completed": 2, "campaign": "pilot-r5", "tokens": 27979}
{"completed": 3, "campaign": "pilot-r5", "tokens": 8334}
{"completed": 4, "campaign": "pilot-r5", "tokens": 8421}
{"completed": 5, "campaign": "pilot-r5", "tokens": 8669}
{"completed": 6, "campaign": "pilot-r5", "tokens": 9260}
{"completed": 7, "campaign": "pilot-r5", "tokens": 8388}
{"completed": 8, "campaign": "pilot-r5", "tokens": 8342}
{"completed": 9, "campaign": "pilot-r5", "tokens": 9407}
{"completed": 10, "campaign": "pilot-r5", "tokens": 8425}
{"completed": 11, "campaign": "pilot-r5", "tokens": 8623}
{"completed": 12, "campaign": "pilot-r5", "tokens": 8333}
{"completed": 13, "campaign": "baseline-r5", "tokens": 9072}
{"completed": 14, "campaign": "baseline-r5", "tokens": 8705}
{"completed": 15, "campaign": "baseline-r5", "tokens": 8425}
{"completed": 16, "campaign": "baseline-r5", "tokens": 8327}
{"completed": 17, "campaign": "baseline-r5", "tokens": 8651}
{"completed": 18, "campaign": "baseline-r5", "tokens": 8450}
{"completed": 19, "campaign": "baseline-r5", "tokens": 10681}
{"completed": 20, "campaign": "baseline-r5", "tokens": 9420}
{"completed": 21, "campaign": "baseline-r5", "tokens": 9279}
{"completed": 22, "campaign": "baseline-r5", "tokens": 9374}
{"completed": 23, "campaign": "baseline-r5", "tokens": 9270}
{"completed": 24, "campaign": "baseline-r5", "tokens": 9424}
{"completed": 25, "campaign": "baseline-r5", "tokens": 9368}
{"completed": 26, "campaign": "baseline-r5", "tokens": 8299}
{"completed": 27, "campaign": "baseline-r5", "tokens": 10277}
{"completed": 28, "campaign": "baseline-r5", "tokens": 8365}
{"completed": 29, "campaign": "baseline-r5", "tokens": 9227}
{"completed": 30, "campaign": "baseline-r5", "tokens": 9393}
{"completed": 31, "campaign": "baseline-r5", "tokens": 8418}
{"completed": 32, "campaign": "baseline-r5", "tokens": 8926}
{"completed": 33, "campaign": "baseline-r5", "tokens": 10396}
{"completed": 34, "campaign": "baseline-r5", "tokens": 8435}
{"completed": 35, "campaign": "baseline-r5", "tokens": 8355}
{"completed": 36, "campaign": "baseline-r5", "tokens": 8388}
{"completed": 37, "campaign": "baseline-r5", "tokens": 8470}
{"completed": 38, "campaign": "baseline-r5", "tokens": 31850}
{"completed": 39, "campaign": "baseline-r5", "tokens": 29806}
{"completed": 40, "campaign": "baseline-r5", "tokens": 8316}
{"completed": 41, "campaign": "baseline-r5", "tokens": 27977}
{"completed": 42, "campaign": "baseline-r5", "tokens": 8335}
{"completed": 43, "campaign": "baseline-r5", "tokens": 28009}
{"completed": 44, "campaign": "baseline-r5", "tokens": 8472}
{"completed": 45, "campaign": "baseline-r5", "tokens": 8329}
{"completed": 46, "campaign": "baseline-r5", "tokens": 8390}
{"completed": 47, "campaign": "baseline-r5", "tokens": 8882}
{"completed": 48, "campaign": "baseline-r5", "tokens": 8377}
{"completed": 49, "campaign": "baseline-r5", "tokens": 9229}
{"completed": 50, "campaign": "baseline-r5", "tokens": 8362}
{"completed": 51, "campaign": "baseline-r5", "tokens": 9414}
{"completed": 52, "campaign": "baseline-r5", "tokens": 8573}
{"completed": 53, "campaign": "baseline-r5", "tokens": 8389}
{"completed": 54, "campaign": "baseline-r5", "tokens": 11156}
{"completed": 55, "campaign": "baseline-r5", "tokens": 9231}
{"completed": 56, "campaign": "baseline-r5", "tokens": 8345}
{"completed": 57, "campaign": "baseline-r5", "tokens": 8677}
{"completed": 58, "campaign": "baseline-r5", "tokens": 8335}
{"completed": 59, "campaign": "baseline-r5", "tokens": 8425}
{"completed": 60, "campaign": "baseline-r5", "tokens": 9217}
{"completed": 61, "campaign": "baseline-r5", "tokens": 9345}
{"completed": 62, "campaign": "baseline-r5", "tokens": 8401}
{"completed": 63, "campaign": "baseline-r5", "tokens": 8335}
{"completed": 64, "campaign": "baseline-r5", "tokens": 9313}
{"completed": 65, "campaign": "baseline-r5", "tokens": 8377}
{"completed": 66, "campaign": "baseline-r5", "tokens": 8401}
{"completed": 67, "campaign": "baseline-r5", "tokens": 8336}
{"completed": 68, "campaign": "baseline-r5", "tokens": 9213}
{"completed": 69, "campaign": "baseline-r5", "tokens": 8430}
{"completed": 70, "campaign": "baseline-r5", "tokens": 8372}
{"completed": 71, "campaign": "baseline-r5", "tokens": 8281}
{"completed": 72, "campaign": "baseline-r5", "tokens": 33430}
{"completed": 73, "campaign": "baseline-r5", "tokens": 8430}
{"completed": 74, "campaign": "baseline-r5", "tokens": 9629}
{"completed": 75, "campaign": "baseline-r5", "tokens": 8680}
{"completed": 76, "campaign": "baseline-r5", "tokens": 8344}
{"completed": 77, "campaign": "baseline-r5", "tokens": 8345}
{"completed": 78, "campaign": "baseline-r5", "tokens": 8329}
{"completed": 79, "campaign": "baseline-r5", "tokens": 8299}
{"completed": 80, "campaign": "baseline-r5", "tokens": 8426}
{"completed": 81, "campaign": "baseline-r5", "tokens": 9350}
{"completed": 82, "campaign": "baseline-r5", "tokens": 8415}
{"completed": 83, "campaign": "baseline-r5", "tokens": 8646}
{"completed": 84, "campaign": "baseline-r5", "tokens": 8346}
{"completed": 85, "campaign": "baseline-r5", "tokens": 8439}
{"completed": 86, "campaign": "baseline-r5", "tokens": 9017}
{"completed": 87, "campaign": "baseline-r5", "tokens": 8435}
{"completed": 88, "campaign": "baseline-r5", "tokens": 8841}
{"completed": 89, "campaign": "baseline-r5", "tokens": 8766}
{"completed": 90, "campaign": "baseline-r5", "tokens": 8555}
{"completed": 91, "campaign": "baseline-r5", "tokens": 8344}
{"completed": 92, "campaign": "baseline-r5", "tokens": 11718}
{"completed": 93, "campaign": "baseline-r5", "tokens": 8316}
{"completed": 94, "campaign": "baseline-r5", "tokens": 10940}
{"completed": 95, "campaign": "baseline-r5", "tokens": 9079}
{"completed": 96, "campaign": "baseline-r5", "tokens": 8478}
{"completed": 97, "campaign": "baseline-r5", "tokens": 8436}
{"completed": 98, "campaign": "baseline-r5", "tokens": 9317}
{"completed": 99, "campaign": "baseline-r5", "tokens": 15552}
{"completed": 100, "campaign": "baseline-r5", "tokens": 8335}
{"completed": 101, "campaign": "baseline-r5", "tokens": 8415}
{"completed": 102, "campaign": "baseline-r5", "tokens": 8334}
{"completed": 103, "campaign": "baseline-r5", "tokens": 8406}
{"completed": 104, "campaign": "baseline-r5", "tokens": 9323}
{"completed": 105, "campaign": "baseline-r5", "tokens": 8327}
{"completed": 106, "campaign": "baseline-r5", "tokens": 8351}
{"completed": 107, "campaign": "baseline-r5", "tokens": 31638}
{"completed": 108, "campaign": "baseline-r5", "tokens": 8812}
{"completed": 109, "campaign": "baseline-r5", "tokens": 8299}
{"completed": 110, "campaign": "baseline-r5", "tokens": 8418}
{"completed": 111, "campaign": "baseline-r5", "tokens": 9369}
{"completed": 112, "campaign": "baseline-r5", "tokens": 8308}
{"completed": 113, "campaign": "baseline-r5", "tokens": 8448}
{"completed": 114, "campaign": "baseline-r5", "tokens": 8323}
{"completed": 115, "campaign": "baseline-r5", "tokens": 8292}
{"completed": 116, "campaign": "baseline-r5", "tokens": 9339}
{"completed": 117, "campaign": "baseline-r5", "tokens": 8430}
{"completed": 118, "campaign": "baseline-r5", "tokens": 8354}
{"completed": 119, "campaign": "baseline-r5", "tokens": 9875}
{"completed": 120, "campaign": "baseline-r5", "tokens": 8351}
{"completed": 121, "campaign": "baseline-r5", "tokens": 8415}
{"completed": 122, "campaign": "baseline-r5", "tokens": 9364}
{"completed": 123, "campaign": "baseline-r5", "tokens": 8358}
